Category,Size_in_Mb,Content Rating,Ad Supported,In App Purchases,Transformed_Rating
1.7,20.0,2.2,0,0,0
2.7,20.0,2.2,1,0,5
1.3,3.0,2.2,0,0,5
2.5,47.0,2.2,1,0,0
1.8,24.0,2.3,0,0,3
2.3,31.0,2.2,0,0,0
2.5,1.8,2.2,0,1,5
1.3,29.0,2.2,0,0,0
1.3,14.0,2.2,0,0,3
2.4,5.9,2.2,0,0,0
2.3,9.9,2.3,1,0,0
2.4,6.3,2.2,0,0,5
2.5,4.9,2.2,1,0,5
1.5,6.9,2.2,1,0,0
1.4,9.5,2.2,0,0,5
2.4,13.0,2.2,1,0,0
2.8,13.0,2.2,1,0,0
1.3,18.0,2.2,0,0,4
2.4,12.0,2.2,1,1,2
1.7,98.0,2.2,0,0,0
2.2,7.0,2.2,0,0,5
1.5,22.0,2.2,0,0,0
2.4,13.0,2.2,1,0,4
2.4,2.3,2.2,0,0,5
1.3,19.0,2.2,0,0,0
2.3,89.0,2.2,1,0,5
3.3,66.0,2.3,1,0,0
1.9,10.0,2.2,0,1,0
2.2,2.6,2.2,1,1,4
1.5,17.0,2.2,0,0,0
1.9,6.1,2.5,0,0,2
2.3,0.7578125,2.2,0,0,5
1.3,8.5,2.2,1,0,5
2.2,4.2,2.2,1,0,0
2.5,14.0,2.2,1,0,4
2.4,24.0,2.2,1,0,5
1.9,27.0,2.2,0,0,0
2.3,4.9,2.3,1,0,0
2.0,2.6,2.2,1,0,0
2.3,9.4,2.2,1,0,0
2.4,9.2,2.2,1,0,5
2.8,1.9,2.2,1,0,4
2.5,9.2,2.2,0,0,0
1.3,17.0,2.2,0,0,4
2.3,38.0,2.2,0,0,5
2.4,12.0,2.3,0,0,0
2.8,7.1,2.2,1,0,4
2.4,1.8,2.2,0,0,0
2.3,1.9,2.2,1,0,0
1.3,17.0,2.2,0,0,0
2.2,9.9,2.2,0,1,4
1.9,2.9,2.2,0,0,3
1.3,11.0,2.2,1,0,4
1.9,60.0,2.2,0,0,4
1.3,21.0,2.2,0,0,0
1.9,21.0,2.2,0,0,0
1.9,30.0,2.2,0,0,4
2.0,18.0,2.2,0,0,5
2.4,18.0,2.2,1,0,4
1.7,6.4,2.2,0,0,3
2.9,4.5,2.2,1,0,5
2.8,11.0,2.2,1,0,4
2.4,7.4,2.2,1,0,4
2.8,7.0,2.2,1,1,0
1.9,3.8,2.2,0,0,0
2.4,8.1,2.2,1,1,4
2.8,11.0,2.2,1,0,4
2.4,14.0,2.2,0,0,4
2.3,4.1,2.2,0,0,0
1.4,7.0,2.7,0,0,0
2.3,2.9,2.2,1,0,5
2.5,27.0,2.2,0,0,0
2.5,5.4,2.2,1,0,5
2.3,79.0,2.2,0,0,0
1.7,11.0,2.2,0,0,0
1.7,94.0,2.5,1,0,4
2.7,50.0,2.2,1,1,4
2.5,6.0,2.2,0,0,0
